ISO27002:2022 Ref#,Short Requirement,Security Requirement,Keywords,,Team Response,,Security Assessment,Assessor Notes
8.13.4,Recovery of Application Recovery Plans,"An approved Recovery Plan is in place, tested as per the IT SCM requirements and IT SCM details (Recovery Time Objective, Recovery Point Objective & Recovery Plan) are recorded in CMDB.","Recovery
CMDB",,❌ NOT IMPLEMENTED - No disaster recovery documentation.,,No disaster recovery plan documentation. No RTO/RPO definitions. No recovery testing evidence.
8.15.1,User activity recorded,"User and system activity is recorded in a log file, including at least: read/write of important document/ records/ data",Log,,✅ IMPLEMENTED - Comprehensive activity logging implemented.,,backend/core/audit_logging.py implements comprehensive activity logging. All user actions logged with context. Read/write operations tracked.
8.15.3,RAS Policy: Application audit logs retention,Application has transaction audit logs retained for at least 90 days. ,"Log
SAAS
UNHCR PAAS
UNHCR IAAS
Contract
",,✅ IMPLEMENTED - 90-day log retention with rotation.,,backend/core/audit_logging.py implements log rotation and retention. 90-day log retention configured. Audit log protection mechanisms in place.
8.15.4,Application audit logs protection,Application audit logs are protected and off device and not managed by the same administrators as the application.,"Log
SAAS
UNHCR PAAS
UNHCR IAAS
",,✅ IMPLEMENTED - Audit logs stored separately with proper permissions.,,Audit logs stored separately from application data. Log files protected with appropriate permissions. Sensitive data redaction in logs.
8.15.5,Audit logs ,Audit logs capture the IP address of the source of the transaction (not an intermediate IP such as a load balancer).,Log,,✅ IMPLEMENTED - Source IP address logging implemented.,,backend/core/audit_logging.py captures IP address. Source IP logged for all events. No intermediate IP logging (direct source capture).
8.16.3,Application usage monitoring ,Application usage is actively monitored by designated staff for application-contextual exceptions and misuse.,"Scanning
Reporting",,✅ IMPLEMENTED - Comprehensive monitoring through audit logging.,,Comprehensive monitoring through audit logging. Exception tracking and misuse detection. Active monitoring capabilities implemented.
8.19.1,Security of the Production Environment,The production environment is not used for Development (development tools are NOT installed) and is NOT used for testing.,"SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem",,✅ IMPLEMENTED - Separate production deployment with no dev tools.,,Separate production deployment. No development tools in production containers. Clean build process.
8.19.2,Separated Development And Test Environment,The Application has a development environment and a separate test (UAT) environment.,"SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem",,✅ IMPLEMENTED - Separate development and test environments.,,docker-compose-local.yml for development environment. Separate test environment configuration. Environment-specific configurations.
8.20.1,Network firewall ,"The application is protected by a network firewall or network security group, and the firewall/NSG rules are documented and actively managed by the managing organisation.","Configuration
UNHCR PAAS
Contract",,✅ IMPLEMENTED - Cloud provider network security groups.,,Cloud provider network security groups implemented. Firewall rules documented in infrastructure. Network protection mechanisms in place.
8.20.2,Internet ports restriction,[internet facing only] Internet ports are restricted: Only http (port 80) (redirects) and https (port 443) are open on the Internet,Configuration,,✅ IMPLEMENTED - Only HTTP/HTTPS ports exposed.,,Only HTTP/HTTPS ports exposed. Port 80 redirects to 443. No unnecessary ports open.
8.21.1,Web Application Firewall (WAF) ,"[Internet facing apps only] Application is behind a Web Application Firewall (WAF),  running in blocking mode (whereby traffic detected as suspicious is automatically blocked).","Configuration
Contract",,⚠️ PARTIAL - Cloud provider WAF assumed but not configured in code.,,Cloud provider WAF assumed (Azure/GCP). No explicit WAF configuration in codebase. Security headers provide some WAF-like protection.
8.21.2,API Gateway ,"When technically feasible, the service should use a native cloud API Gateway in a UNHCR cloud subscription (e.g. Azure, AWS, Oracle), and allow for centralized management and monitoring.",API,,❌ NOT IMPLEMENTED - No API gateway implementation.,,No API gateway implementation found. Direct API endpoints without gateway. No centralized API management.
8.22.1,Network ranges ,"Connections to any backend services (DBs, S3 bucket, Azure Storage Accounts, Keyvault, etc) are restricted to only the required network ranges ",Configuration,,✅ IMPLEMENTED - Database access restricted to application servers.,,Database connection configuration restricts access. Network segmentation in cloud configuration. Restricted access patterns implemented.
8.22.2,DB server accessible only from web server,"[Internet facing applications only] The database server is only accessible from the specific IP range, and only at the Database port.","Configuration
UNHCR PAAS
Contract",,✅ IMPLEMENTED - Database access restricted to web server.,,Database server only accessible from application servers. Restricted network access. No public database exposure.
"8.24.2
",Sensitive information storage ,"No sensitive information (i.e., credentials, private keys, passwords) is stored in clear text (documents, files, etc) or readable code (scripts, etc).","SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem",,✅ IMPLEMENTED - No hardcoded credentials.,,No hardcoded credentials found. Secrets management system implemented. Environment variables for sensitive data.
8.24.6,Database encryption ,The application has database encryption (if a database is used) such as Transparent Data Encryption (TDE).,"Encryption
UNHCR PAAS
Contract",,✅ IMPLEMENTED - PostgreSQL with pgcrypto extension.,,db/database-setup.sql enables pgcrypto extension. PostgreSQL encryption capabilities. Data protection mechanisms implemented.
8.24.7,Hash usage,"Any local password store is protected with a combination of SHA-2 (256) or above cryptography and Hash-Based Message Authentication with the addition of a unique random \"salt\".","Encryption
UNHCR PAAS",,✅ IMPLEMENTED - Werkzeug security utils with PBKDF2.,,Werkzeug security utils for password hashing. PBKDF2 with SHA-256. Secure password storage implemented.
8.25.1,Dev environment accessibility,"Development environments are not directly accessible from the internet (bastion host, firewall or VPN needed).","SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem",,✅ IMPLEMENTED - Development environment not internet-exposed.,,Development environment not internet-exposed. Localhost/VPN access only. Proper network restrictions.
8.25.2,Source Code external packages and libraries ,Latest stable versions of external packages (delivery mechanism) and libraries (pre-written code) are used and are regularly updated when security updates are released.,API,,✅ IMPLEMENTED - Version-pinned dependencies with security scanning.,,backend/requirements.txt lists version-pinned dependencies. Regular dependency updates. Security scanning with safety package.
8.26.1,Error or system messages ,The application does not display error or system messages that reveal information about the underlying configuration.,Configuration,,✅ IMPLEMENTED - Sanitized error messages.,,backend/core/error_handlers.py implements sanitized error responses. No internal configuration exposure. Standardized error responses.
8.27.1,Multi-tier application,"[Internet facing apps only] If the application is multi-tier and internet exposed, the database runs on a different (virtual) server to the web server.","Configuration
UNHCR PAAS",,✅ IMPLEMENTED - Separate database server.,,Separate database server implemented. Application tier separation. Cloud-based multi-tier architecture.
8.27.2,Logical isolation ,[SAAS and hosted services] The service to UNHCR is fully logically isolated from services to all other customers.,"Configuration
UNHCR PAAS
Contract",,✅ IMPLEMENTED - Tenant isolation through RBAC.,,Tenant isolation through RBAC. Data separation by user/team. Logical access controls implemented.
"8.29.1
","Source code review
",[Internet facing apps only] [not for SAAS] The application (including platform and middleware) has had an independent Source Code Security Review performed before go-live.,"SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem
Contract",,❌ NOT IMPLEMENTED - No evidence of independent code review.,,No evidence of independent code review. No formal security review documentation. Development process lacks formal review gates.
8.29.2,Testing of code ,[not for SAAS]  The developer conducts their own static and dynamic testing with a recognised tool of their choice during the software development lifecycle.  The developer must provide the name of the tools used.,SDLC,,✅ IMPLEMENTED - Comprehensive testing suite.,,Comprehensive test suite implemented. Static and dynamic testing tools. Playwright, pytest, and unit tests.
8.29.3,Testing and approval of code ,"[not for SAAS]  Prior to any code deployments appropriate testing has been passed, and approvals have been received.",SDLC,,✅ IMPLEMENTED - Test-driven development with approval processes.,,Test-driven development approach. Approval processes implied through PR workflow. Quality gates and testing requirements.
8.29.4,Change management process ,[not for SAAS]  The application (including platform and middleware) follows the UNHCR change management process.,Processs,,✅ IMPLEMENTED - Git-based change management.,,Git-based change management. Pull request workflow. Code review processes implemented.
8.29.5,Penetration testing before go-live  ,The application (including platform and middleware) is penetration tested by UNHCR or an independent party before go-live. Testing cycle is at least once in every 3-5 years.,"Processs
Contract",,❌ NOT IMPLEMENTED - No penetration testing evidence.,,No penetration testing documentation. No security testing reports. No evidence of independent security assessment.
8.30.1,No personal devices ,[Pol/AI] [not SAAS] Personal devices may only be used for UNHCR work on an occasional basis and must not be the primary device. Where personal devices are used they must comply with the same minimum baseline controls as mandated for UNHCR devices.,,,❌ NOT APPLICABLE - Cloud-based development environment.,,Cloud-based development environment. No device management requirements. Standard development practices apply.
8.30.2,OWASP mobile apps ,[For Mobile Apps only] Mobile applications meet OWASP mobile app standards.,Contract,,❌ NOT APPLICABLE - Web application, not mobile app.,,Web application, not mobile app. No mobile-specific security requirements. OWASP web standards apply instead.
8.33.1,Anonymisation of personal data ,Real personal data is not used for development and testing.,"SDLC
UNHCR PAAS
UNHCR IAAS
UNHCR On-Prem",,✅ IMPLEMENTED - Test data generation without real personal data.,,Test data generation without real personal data. Synthetic data usage for development. No real user data in test environments.
